"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 20 22:04:38 MSK 2021","Mon Sep 20 22:05:12 MSK 2021","34040","","Watches Page","","Watches Page","should show the banner title","should show the banner title",""
"passed","Mon Sep 20 22:04:08 MSK 2021","Mon Sep 20 22:04:38 MSK 2021","30801","","Watches Page","","Watches Page","should verify the watches categoty list","should verify the watches categoty list",""
"passed","Wed Sep 22 14:37:26 MSK 2021","Wed Sep 22 14:37:28 MSK 2021","2351","","Ebay Product Search","","Ebay Product Search","should redirect to a new page and verify the title","should redirect to a new page and verify the title",""
"passed","Wed Sep 22 14:37:22 MSK 2021","Wed Sep 22 14:37:26 MSK 2021","4419","","Ebay Product Search","","Ebay Product Search","should search for a product and verify the search text value","should search for a product and verify the search text value",""
"passed","Mon Sep 20 22:05:12 MSK 2021","Mon Sep 20 22:05:55 MSK 2021","42571","","Watches Page","","Watches Page","should contain link on banner button and verify its clickable","should contain link on banner button and verify its clickable",""
"passed","Mon Sep 20 22:05:03 MSK 2021","Mon Sep 20 22:05:18 MSK 2021","14334","","Watches Page","","Watches Page","should click on watch section","should click on watch section",""
"passed","Mon Sep 20 22:04:06 MSK 2021","Mon Sep 20 22:04:31 MSK 2021","24558","","Watches Page","","Watches Page","should verify the watches categoty list","should verify the watches categoty list",""
"passed","Wed Sep 22 14:37:28 MSK 2021","Wed Sep 22 14:37:30 MSK 2021","1992","","Ebay Product Search","","Ebay Product Search","should update the search category","should update the search category",""
"broken","Mon Sep 20 21:48:13 MSK 2021","Mon Sep 20 21:48:21 MSK 2021","7647","","Ebay Product Search","","Ebay Product Search","""before all"" hook for Ebay Product Search","""before all"" hook for Ebay Product Search",""
"passed","Wed Sep 22 14:37:06 MSK 2021","Wed Sep 22 14:37:22 MSK 2021","15191","","Ebay Product Search","","Ebay Product Search","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Wed Sep 22 14:37:28 MSK 2021","Wed Sep 22 14:37:31 MSK 2021","2453","","Ebay Product Search","","Ebay Product Search","should update the search category","should update the search category",""
"passed","Wed Sep 22 14:37:26 MSK 2021","Wed Sep 22 14:37:28 MSK 2021","1907","","Ebay Product Search","","Ebay Product Search","should redirect to a new page and verify the title","should redirect to a new page and verify the title",""
"passed","Mon Sep 20 22:05:55 MSK 2021","Mon Sep 20 22:06:22 MSK 2021","27089","","Watches Page","","Watches Page","should click on watch section","should click on watch section",""
"passed","Mon Sep 20 22:04:52 MSK 2021","Mon Sep 20 22:05:03 MSK 2021","11091","","Watches Page","","Watches Page","should contain link on banner button and verify its clickable","should contain link on banner button and verify its clickable",""
"broken","Mon Sep 20 21:55:44 MSK 2021","Mon Sep 20 21:55:54 MSK 2021","10569","","Watches Page","","Watches Page","""before all"" hook for Watches Page","""before all"" hook for Watches Page",""
"passed","Wed Sep 22 14:37:22 MSK 2021","Wed Sep 22 14:37:26 MSK 2021","3971","","Ebay Product Search","","Ebay Product Search","should search for a product and verify the search text value","should search for a product and verify the search text value",""
"passed","Wed Sep 22 14:37:08 MSK 2021","Wed Sep 22 14:37:22 MSK 2021","14230","","Ebay Product Search","","Ebay Product Search","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Mon Sep 20 22:04:38 MSK 2021","Mon Sep 20 22:04:38 MSK 2021","15","","Watches Page","","Watches Page","should show the banner container","should show the banner container",""
"passed","Mon Sep 20 22:04:31 MSK 2021","Mon Sep 20 22:04:52 MSK 2021","21606","","Watches Page","","Watches Page","should show the banner title","should show the banner title",""
"passed","Mon Sep 20 22:04:31 MSK 2021","Mon Sep 20 22:04:31 MSK 2021","6","","Watches Page","","Watches Page","should show the banner container","should show the banner container",""
